¨id,kommun,post_ort_saved,personer_count,ratsit_link,created_at,updated_at
204,Stenungsunds,1,22619,https://www.ratsit.se/personer/Stenungsunds-kommun,,2025-11-17 14:20:55
205,Stockholms,1,829425,https://www.ratsit.se/personer/Stockholms-kommun,,2025-11-17 14:21:44
206,Stockholms-Bandhagen-mfl,1,86001,https://www.ratsit.se/personer/Stockholms-kommun-Bandhagen-mfl,,2025-11-17 14:22:42
207,Stockholms-Bromma,1,67791,https://www.ratsit.se/personer/Stockholms-kommun-Bromma,,2025-11-17 14:23:41
208,Stockholms-Essingeöarna-mm,1,62261,https://www.ratsit.se/personer/Stockholms-kommun-Essinge%C3%B6arna-mm,,2025-11-17 14:24:37
209,Stockholms-Farsta-mfl,1,80686,https://www.ratsit.se/personer/Stockholms-kommun-Farsta-mfl,,2025-11-17 14:25:35
210,Stockholms-Hägersten-mfl,1,123570,https://www.ratsit.se/personer/Stockholms-kommun-H%C3%A4gersten-mfl,,2025-11-17 14:26:40
211,Stockholms-Norrmalm-mm,1,137743,https://www.ratsit.se/personer/Stockholms-kommun-Norrmalm-mm,,2025-11-17 14:27:59
212,Stockholms-Spånga-mfl,1,139136,https://www.ratsit.se/personer/Stockholms-kommun-Sp%C3%A5nga-mfl,,2025-11-17 14:29:08
213,Stockholms-Södermalm-mm,1,132237,https://www.ratsit.se/personer/Stockholms-kommun-S%C3%B6dermalm-mm,,2025-11-17 14:30:13
214,Storfors,1,3231,https://www.ratsit.se/personer/Storfors-kommun,,2025-11-17 14:31:06
215,Storumans,1,4738,https://www.ratsit.se/personer/Storumans-kommun,,2025-11-17 14:32:01
216,Strängnäs,1,32074,https://www.ratsit.se/personer/Str%C3%A4ngn%C3%A4s-kommun,,2025-11-17 14:32:56
217,Strömstads,1,11065,https://www.ratsit.se/personer/Str%C3%B6mstads-kommun,,2025-11-17 14:33:49
218,Strömsunds,1,9264,https://www.ratsit.se/personer/Str%C3%B6msunds-kommun,,2025-11-17 14:34:42
219,Sundbybergs,1,46888,https://www.ratsit.se/personer/Sundbybergs-kommun,,2025-11-17 14:35:40
220,Sundsvalls,1,82600,https://www.ratsit.se/personer/Sundsvalls-kommun,,2025-11-17 14:36:44
221,Sunne,1,11206,https://www.ratsit.se/personer/Sunne-kommun,,2025-11-17 14:37:39
222,Surahammars,1,7950,https://www.ratsit.se/personer/Surahammars-kommun,,2025-11-17 14:38:35
223,Svalövs,1,11595,https://www.ratsit.se/personer/Sval%C3%B6vs-kommun,,2025-11-17 14:39:45
224,Svedala,1,18114,https://www.ratsit.se/personer/Svedala-kommun,,2025-11-17 14:40:38
225,Svenljunga,1,8744,https://www.ratsit.se/personer/Svenljunga-kommun,,2025-11-17 14:41:38
226,Säffle,1,12507,https://www.ratsit.se/personer/S%C3%A4ffle-kommun,,2025-11-17 14:42:31
227,Säters,1,9233,https://www.ratsit.se/personer/S%C3%A4ters-kommun,,2025-11-17 14:43:27
228,Sävsjö,1,9243,https://www.ratsit.se/personer/S%C3%A4vsj%C3%B6-kommun,,2025-11-17 14:44:20
229,Söderhamns,1,20421,https://www.ratsit.se/personer/S%C3%B6derhamns-kommun,,2025-11-17 14:45:15
230,Söderköpings,1,11996,https://www.ratsit.se/personer/S%C3%B6derk%C3%B6pings-kommun,,2025-11-17 14:46:13
231,Södertälje,1,83497,https://www.ratsit.se/personer/S%C3%B6dert%C3%A4lje-kommun,,2025-11-17 14:47:19
232,Sölvesborgs,1,14732,https://www.ratsit.se/personer/S%C3%B6lvesborgs-kommun,,2025-11-17 14:48:12
233,Tanums,1,10805,https://www.ratsit.se/personer/Tanums-kommun,,2025-11-17 14:49:06
234,Tibro,1,9361,https://www.ratsit.se/personer/Tibro-kommun,,2025-11-17 14:49:58
235,Tidaholms,1,10467,https://www.ratsit.se/personer/Tidaholms-kommun,,2025-11-17 14:50:50
236,Tierps,1,17359,https://www.ratsit.se/personer/Tierps-kommun,,2025-11-17 14:51:43
237,Timrå,1,14577,https://www.ratsit.se/personer/Timr%C3%A5-kommun,,2025-11-17 14:52:35
238,Tingsryds,1,10129,https://www.ratsit.se/personer/Tingsryds-kommun,,2025-11-17 14:53:29
239,Tjörns,1,13415,https://www.ratsit.se/personer/Tj%C3%B6rns-kommun,,2025-11-17 14:54:26
240,Tomelilla,1,11446,https://www.ratsit.se/personer/Tomelilla-kommun,,2025-11-17 14:55:25
241,Torsby,1,9602,https://www.ratsit.se/personer/Torsby-kommun,,2025-11-17 14:56:16
242,Torsås,1,5887,https://www.ratsit.se/personer/Tors%C3%A5s-kommun,,2025-11-17 14:57:08
243,Tranemo,1,9772,https://www.ratsit.se/personer/Tranemo-kommun,,2025-11-17 14:58:01
244,Tranås,1,15347,https://www.ratsit.se/personer/Tran%C3%A5s-kommun,,2025-11-17 14:58:53
245,Trelleborg,1,38650,https://www.ratsit.se/personer/Trelleborg-kommun,,2025-11-17 14:59:46
246,Trollhättans,1,48539,https://www.ratsit.se/personer/Trollh%C3%A4ttans-kommun,,2025-11-17 15:00:42
247,Trosa,1,12117,https://www.ratsit.se/personer/Trosa-kommun,,2025-11-17 15:01:34
