id,kommun,foretag_count,ratsit_link,created_at,updated_at,foretag_postort_saved
16,Bollebygds kommun,1568,https://www.ratsit.se/foretag/Bollebygds-kommun,2025-11-17 14:01:34,2025-11-17 16:44:11,1
17,Bollnäs kommun,4443,https://www.ratsit.se/foretag/Bolln%C3%A4s-kommun,2025-11-17 14:01:34,2025-11-17 16:44:40,1
18,Borgholms kommun,2619,https://www.ratsit.se/foretag/Borgholms-kommun,2025-11-17 14:01:35,2025-11-17 16:45:02,1
19,Borlänge kommun,6286,https://www.ratsit.se/foretag/Borl%C3%A4nge-kommun,2025-11-17 14:01:35,2025-11-17 16:45:41,1
20,Borås kommun,15762,https://www.ratsit.se/foretag/Bor%C3%A5s-kommun,2025-11-17 14:01:36,2025-11-17 16:47:13,1
21,Botkyrka kommun,9279,https://www.ratsit.se/foretag/Botkyrka-kommun,2025-11-17 14:01:36,2025-11-17 16:48:04,1
22,Boxholms kommun,178,https://www.ratsit.se/foretag/Boxholms-kommun,2025-11-17 14:01:37,2025-11-17 16:48:19,1
23,Bromölla kommun,1342,https://www.ratsit.se/foretag/Brom%C3%B6lla-kommun,2025-11-17 14:01:37,2025-11-17 16:48:39,1
24,Bräcke kommun,1528,https://www.ratsit.se/foretag/Br%C3%A4cke-kommun,2025-11-17 14:01:38,2025-11-17 16:48:56,1
25,Burlövs kommun,2040,https://www.ratsit.se/foretag/Burl%C3%B6vs-kommun,2025-11-17 14:01:38,2025-11-17 16:49:13,1
26,Båstads kommun,3661,https://www.ratsit.se/foretag/B%C3%A5stads-kommun,2025-11-17 14:01:38,2025-11-17 16:49:39,1
27,Dals-Eds kommun,1128,https://www.ratsit.se/foretag/Dals-Eds-kommun,2025-11-17 14:01:39,2025-11-17 16:49:51,1
28,Danderyds kommun,9282,https://www.ratsit.se/foretag/Danderyds-kommun,2025-11-17 14:01:39,2025-11-17 16:50:29,1
29,Degerfors kommun,1008,https://www.ratsit.se/foretag/Degerfors-kommun,2025-11-17 14:01:40,2025-11-17 16:50:50,1
30,Dorotea kommun,600,https://www.ratsit.se/foretag/Dorotea-kommun,2025-11-17 14:01:40,2025-11-17 16:51:11,1
31,Eda kommun,916,https://www.ratsit.se/foretag/Eda-kommun,2025-11-17 14:01:41,2025-11-17 16:51:35,1
32,Ekerö kommun,5264,https://www.ratsit.se/foretag/Eker%C3%B6-kommun,2025-11-17 14:01:41,2025-11-17 14:01:41,0
33,Eksjö kommun,2352,https://www.ratsit.se/foretag/Eksj%C3%B6-kommun,2025-11-17 14:01:42,2025-11-17 14:01:42,0
34,Emmaboda kommun,1651,https://www.ratsit.se/foretag/Emmaboda-kommun,2025-11-17 14:01:42,2025-11-17 14:01:42,0
35,Enköpings kommun,7162,https://www.ratsit.se/foretag/Enk%C3%B6pings-kommun,2025-11-17 14:01:42,2025-11-17 14:01:42,0
36,Eskilstuna kommun,10915,https://www.ratsit.se/foretag/Eskilstuna-kommun,2025-11-17 14:01:43,2025-11-17 14:01:43,0
37,Eslövs kommun,4185,https://www.ratsit.se/foretag/Esl%C3%B6vs-kommun,2025-11-17 14:01:43,2025-11-17 14:01:43,0
38,Essunga kommun,1152,https://www.ratsit.se/foretag/Essunga-kommun,2025-11-17 14:01:44,2025-11-17 14:01:44,0
39,Fagersta kommun,1212,https://www.ratsit.se/foretag/Fagersta-kommun,2025-11-17 14:01:44,2025-11-17 14:01:44,0
40,Falkenbergs kommun,7884,https://www.ratsit.se/foretag/Falkenbergs-kommun,2025-11-17 14:01:44,2025-11-17 14:01:44,0
41,Falköpings kommun,4889,https://www.ratsit.se/foretag/Falk%C3%B6pings-kommun,2025-11-17 14:01:45,2025-11-17 14:01:45,0
42,Falu kommun,20402,https://www.ratsit.se/foretag/Falu-kommun,2025-11-17 14:01:45,2025-11-17 14:01:45,0
